symbol,action,signal_price,created_at,status,filled_at,fill_price,era
ZEC-USDT,sell,321.69,2026-04-19 09:25:04.256368+00:00,invalidated,,,v1
SOL-USDT,buy,84.97,2026-04-19 09:34:05.178413+00:00,invalidated,,,v1
ZEC-USDT,buy,326.82,2026-04-19 10:22:02.429848+00:00,invalidated,,,v1
SOL-USDT,buy,84.86,2026-04-19 10:52:05.384664+00:00,expired,,,v1
ZEC-USDT,sell,330.37,2026-04-19 14:05:52.323666+00:00,invalidated,,,v1
SOL-USDT,sell,86.19,2026-04-19 15:02:08.746603+00:00,invalidated,,,v1
SOL-USDT,sell,85.95,2026-04-19 15:35:03.628514+00:00,invalidated,,,v1
SOL-USDT,buy,85.44,2026-04-19 19:19:05.835476+00:00,invalidated,,,v1
ZEC-USDT,buy,306.52,2026-04-19 19:21:01.634382+00:00,invalidated,,,v1
SOL-USDT,sell,84.79,2026-04-19 20:45:02.785681+00:00,invalidated,,,v1
ZEC-USDT,buy,303.42,2026-04-20 00:16:02.894067+00:00,expired,,,v1
SOL-USDT,buy,83.88,2026-04-20 00:29:04.545165+00:00,invalidated,,,v1
SOL-USDT,sell,83.87,2026-04-20 02:14:08.675047+00:00,filled,2026-04-20 02:35:13.403998+00:00,84.11,v1
ZEC-USDT,sell,309.87,2026-04-20 04:37:51.858016+00:00,cancelled,,,v1
ZEC-USDT,sell,308.86,2026-04-20 04:40:02.851697+00:00,cancelled,,,v1
ZEC-USDT,sell,308.92,2026-04-20 04:45:51.263530+00:00,expired,,,v1
SOL-USDT,sell,84.12,2026-04-20 05:11:08.937991+00:00,expired,,,v1
SOL-USDT,buy,84.23,2026-04-20 06:34:05.378663+00:00,expired,,,v1
ZEC-USDT,buy,308.67,2026-04-20 06:41:01.758579+00:00,filled,2026-04-20 06:52:20.606548+00:00,307.06,v1
ZEC-USDT,buy,308.38,2026-04-20 07:22:01.430415+00:00,filled,2026-04-20 07:35:50.969083+00:00,307.86,v1
ZEC-USDT,sell,308.56,2026-04-20 12:30:51.893976+00:00,cancelled,,,v1
ZEC-USDT,sell,308.29,2026-04-20 12:38:51.187661+00:00,filled,2026-04-20 13:00:00.798803+00:00,308.67,v1
SOL-USDT,sell,85.03,2026-04-20 14:15:05.727984+00:00,filled,2026-04-20 14:17:45.261179+00:00,85.17,v1
ZEC-USDT,buy,310.62,2026-04-20 14:25:05.855872+00:00,filled,2026-04-20 14:41:06.794621+00:00,308.95,v1
SOL-USDT,sell,84.86,2026-04-20 14:51:09.220064+00:00,filled,2026-04-20 15:11:44.286805+00:00,84.89,v1
SOL-USDT,buy,85.22,2026-04-20 15:22:04.470691+00:00,expired,,,v1
