sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,zec_lighter_net,zec_lighter_pf,zec_lighter_dd,zec_lighter_n,zec_blofin_net,zec_blofin_pf,sol_lighter_net,sol_lighter_pf,sol_lighter_dd,sol_lighter_n,sol_blofin_net,sol_blofin_pf,combined_lighter_net,combined_blofin_net,both_profitable,zec_lift,sol_lift,combined_lift,score
100,35,45,40,75,80,35.0,22006.23,2.356,-387.0,1066,12410.58,1.657,6604.81,1.838,-546.51,477,2310.62,1.251,28611.04,14721.2,True,1205.5400000000009,187.23000000000047,1392.7700000000013,61.926140000000004
100,45,55,50,70,75,45.0,18297.76,1.866,-710.01,1012,9189.11,1.383,6127.9,1.614,-836.31,450,2076.18,1.184,24425.659999999996,11265.29,True,-2502.9300000000003,-289.6800000000003,-2792.6100000000006,61.48886
80,25,45,30,75,80,37.5,22499.06,3.131,-376.0,1118,12435.83,1.878,5334.5,1.916,-299.38,509,752.15,1.096,27833.56,13187.98,True,1698.3700000000026,-1083.08,615.2900000000027,61.41069333333333
100,35,45,40,60,65,35.0,21813.08,2.345,-387.0,1063,12244.38,1.649,6341.22,1.805,-552.91,476,2056.02,1.224,28154.300000000003,14300.4,True,1012.390000000003,-76.35999999999967,936.0300000000034,61.38673333333334
120,45,65,50,95,100,67.5,16931.05,1.794,-853.93,979,8120.36,1.33,5322.63,1.513,-954.3,436,1397.34,1.118,22253.68,9517.699999999999,True,-3869.6399999999994,-1094.9499999999998,-4964.589999999999,61.35931333333333
80,25,45,30,60,65,37.5,22366.48,3.118,-377.25,1118,12303.31,1.869,5346.34,1.918,-299.38,509,764.05,1.098,27712.82,13067.359999999999,True,1565.7900000000009,-1071.2399999999998,494.5500000000011,61.26578666666667
140,35,45,40,75,80,52.5,19218.53,2.103,-799.69,1025,9992.46,1.505,5352.65,1.625,-613.78,459,1220.83,1.125,24571.18,11213.289999999999,True,-1582.1599999999999,-1064.9300000000003,-2647.09,61.13254666666667
80,35,45,40,75,80,52.5,22186.94,2.505,-356.0,1086,12411.93,1.706,6421.23,1.86,-432.96,485,2054.98,1.231,28608.17,14466.91,True,1386.25,3.649999999999636,1389.8999999999996,61.04777
140,45,55,50,70,75,45.0,17001.22,1.751,-752.83,966,8307.18,1.331,5988.88,1.575,-943.72,433,2090.29,1.181,22990.100000000002,10397.470000000001,True,-3799.4699999999975,-428.6999999999998,-4228.169999999997,61.04226666666666
120,45,75,50,90,95,45.0,17102.43,1.825,-865.32,969,8380.65,1.342,4662.03,1.455,-954.3,428,808.56,1.067,21764.46,9189.21,True,-3698.2599999999984,-1755.5500000000002,-5453.809999999999,60.893993333333334
